中國大陸,GPE
高雄餐旅學校,ORG
台中,GPE
蔡英文,PERSON
2020年,DATE
第一,ORDINAL
阿布達比,GPE
中,GPE
今年,DATE
ECFA,ORG
霸韓,PERSON
新加坡大馬錫,GPE
特偵組,ORG
高雄市,GPE
高雄,GPE
高雄讀餐旅學校,ORG
中華民國駐外大使館,FAC
數十萬,CARDINAL
大使館,ORG
幾十萬,CARDINAL
韓國瑜,PERSON
12,CARDINAL
五百多,CARDINAL
行政院創新委員會,ORG
10兆左右,DATE
4.0,CARDINAL
外貿協會,ORG
60%,PERCENT
四年,DATE
第五,CARDINAL
黑龍江,GPE
中華民國,GPE
一,CARDINAL
張善政,PERSON
韓,GPE
兩百多,CARDINAL
第四,CARDINAL
國民黨,ORG
40%,PERCENT
台灣,GPE
宋,PERSON
台灣,NORP
第三,ORDINAL
美,GPE
10年前,DATE
30,CARDINAL
兩個月,DATE
民進黨,ORG
明年,DATE
三,CARDINAL
高雄,NORP
一年,DATE
大陸,GPE
法國,GPE
一夜,TIME
台灣人,NORP
百分之九十五,PERCENT
四萬,CARDINAL
韓國,GPE
東南亞,LOC
第二,ORDINAL
兩百,CARDINAL
兩,CARDINAL
香港人,NORP
