三萬,CARDINAL
2萬,CARDINAL
2018年,DATE
蔡英文,PERSON
第一,ORDINAL
歐盟,ORG
2019年,DATE
260億,CARDINAL
1.2兆,CARDINAL
上個禮拜,DATE
新北,NORP
澳洲,GPE
朱立倫,PERSON
一週年,DATE
四,CARDINAL
數十萬,CARDINAL
政府,ORG
英國,GPE
北京,GPE
十,CARDINAL
行政院,ORG
今天,DATE
去年的六月,DATE
2016年,DATE
新北市,GPE
2014,DATE
2015年,DATE
上億元,MONEY
瑜,PERSON
國民黨,ORG
兩兆,CARDINAL
核四,FAC
台灣,GPE
宋,PERSON
台灣,NORP
2025年,DATE
亞洲,LOC
2035,CARDINAL
蓋風電廠,ORG
五成,CARDINAL
三倍,CARDINAL
韓,PERSON
德國,GPE
上禮拜,DATE
民進黨,ORG
1800萬噸,QUANTITY
三,CARDINAL
25％,PERCENT
一年,DATE
馬,GPE
聖誕節,DATE
經濟部,ORG
立法院,ORG
2017年,DATE
韓國,GPE
Google,ORG
第二,ORDINAL
台南,GPE
歐盟理事會,ORG
中國,GPE
10%,PERCENT
