去年,DATE
徐泓庭,PERSON
曾永權,PERSON
韓,PERSON
國民黨,ORG
一,CARDINAL
宋主宜,PERSON
上萬,CARDINAL
上百萬,CARDINAL
邱議瑩,PERSON
高雄,GPE
中國,GPE
高雄市,GPE
