親民黨,ORG
太平島,LOC
去年,DATE
前三季,DATE
今年,DATE
第15,ORDINAL
第一號,DATE
第一,ORDINAL
中,GPE
歐,LOC
蔡英文,PERSON
24%,PERCENT
特偵組,ORG
高雄市,GPE
臺灣,GPE
四,CARDINAL
24小時,TIME
韓國瑜,PERSON
1111萬,CARDINAL
前幾天,DATE
上萬,CARDINAL
0-6歲,DATE
三年多以來,DATE
瑜,PERSON
第14,ORDINAL
中華民國,GPE
三個月,DATE
國民黨,ORG
一,CARDINAL
韓,GPE
台灣,GPE
宋,PERSON
台灣,NORP
美,GPE
台商,NORP
過去三年半,DATE
44％,PERCENT
國安,ORG
日,GPE
不到三個月,DATE
韓,PERSON
大陸客,NORP
三年多以前,DATE
2020,DATE
高雄議會,ORG
聯合國,ORG
高雄,NORP
一年,DATE
31.5%,PERCENT
3年,DATE
36%,PERCENT
2020,CARDINAL
花東,LOC
七千多,CARDINAL
韓國,GPE
第二,ORDINAL
這幾年,DATE
中國,GPE
