第二,ORDINAL
川普,PERSON
蔡,PERSON
范,PERSON
當年,DATE
陳師孟,PERSON
韓,PERSON
國民黨,ORG
一,CARDINAL
民進黨,ORG
立法院,ORG
尊白,PERSON
陳水扁,PERSON
今天,DATE
兩,CARDINAL
親民黨,ORG
蘋果日報,ORG
