歐盟,ORG
三歲,DATE
特偵組,ORG
14000,CARDINAL
今天,DATE
五塊八,MONEY
140萬,CARDINAL
中部人,NORP
韓,GPE
台灣,GPE
康熙,PERSON
台商,NORP
德國,GPE
民進黨,ORG
雲林,GPE
國瑜,PERSON
100美金,MONEY
第四,ORDINAL
中國大陸,GPE
台中,GPE
2300萬,CARDINAL
蔡英文,PERSON
陳菊,PERSON
北京,GPE
陳水扁,PERSON
韓國瑜,PERSON
2013年,DATE
非洲法院,ORG
第三,CARDINAL
中華民國,GPE
幾千億,CARDINAL
國民黨,ORG
上個星期,DATE
謝長廷,ORG
李佳芬,PERSON
第三,ORDINAL
台灣,NORP
二十年,DATE
賴清德,PERSON
50%,PERCENT
一噸,QUANTITY
第五,ORDINAL
苗栗,GPE
彰化,GPE
去年,DATE
兩岸,GPE
這三年半,DATE
第一,ORDINAL
台電,ORG
冬天,DATE
夏天,DATE
蘆洲,GPE
七萬多,CARDINAL
何庭歡,PERSON
兩兆,CARDINAL
快四年,DATE
兩岸,LOC
兩塊多,MONEY
歐洲,LOC
大陸,GPE
150萬,CARDINAL
台灣人,NORP
1450,CARDINAL
兩,CARDINAL
百分百,PERCENT
40,CARDINAL
二十一世紀,DATE
1000元美金,MONEY
豬八戒,PERSON
一,CARDINAL
9100億,CARDINAL
1,CARDINAL
7%,PERCENT
非洲,LOC
38,CARDINAL
第二,ORDINAL
南投,GPE
