蔡,PERSON
3年半,DATE
76.4%,PERCENT
九牛二虎之力,QUANTITY
今天,DATE
10個月,DATE
百分之50,PERCENT
台灣,GPE
幾個月,DATE
興達火力發電廠,FAC
民進黨,ORG
高雄,NORP
雲林,GPE
韓國,GPE
中國大陸,GPE
台中,GPE
香港,GPE
蔡英文,PERSON
今年,DATE
日本,GPE
1萬,CARDINAL
高雄市,GPE
24,CARDINAL
高雄,GPE
陳菊,PERSON
5公分,QUANTITY
臺灣,GPE
韓國瑜,PERSON
2013年,DATE
謝長廷,PERSON
這四年,DATE
中華民國,GPE
台灣,NORP
亞洲,LOC
1年,DATE
一年,DATE
賴清德,PERSON
宮廟,FAC
50%,PERCENT
立法院,ORG
苗栗,GPE
彰化,GPE
去年,DATE
台電,ORG
第一,ORDINAL
冬天,DATE
土地公,PERSON
四,CARDINAL
195公分,QUANTITY
3,CARDINAL
禮拜天,DATE
兩億一千萬,CARDINAL
兩兆,CARDINAL
六億多,CARDINAL
中聯,ORG
明年,DATE
21%,PERCENT
台灣人,NORP
10、20年,DATE
兩,CARDINAL
48,CARDINAL
兩千七百億,CARDINAL
中國大陸共產黨,ORG
6萬,CARDINAL
香港中聯辦,ORG
禮拜六,DATE
中聯辦,ORG
200公分,QUANTITY
2019年上半年,DATE
60%,PERCENT
玉皇大帝,PERSON
一,CARDINAL
113萬,CARDINAL
10,CARDINAL
三,CARDINAL
一百四十萬,CARDINAL
第二,ORDINAL
南投,GPE
