過去三年多,DATE
一千億,CARDINAL
台中,GPE
蔡英文,PERSON
第15,ORDINAL
第一,ORDINAL
三千億,CARDINAL
南迴公路,FAC
橋頭科學園區,FAC
一天兩天,DATE
台北市,GPE
台南科學園區,LOC
迪士尼,ORG
馬英九,PERSON
台南高雄大都會,GPE
高雄,GPE
朱立倫,PERSON
陳菊,PERSON
英國,GPE
1/6,CARDINAL
東部,LOC
今天,DATE
台86線,FAC
南台灣,GPE
633,CARDINAL
當年,DATE
彰化南投,GPE
第三,CARDINAL
600萬,CARDINAL
美國,GPE
四年,DATE
中華民國,GPE
一,CARDINAL
馬,PERSON
12年,DATE
國民黨,ORG
台灣,GPE
宋,PERSON
22年,DATE
八年,DATE
韓,PERSON
民進黨,ORG
明年,DATE
雲嘉嘉,GPE
三,CARDINAL
沙崙,GPE
花東鐵路,FAC
高雄海空經貿城,FAC
衛武營,FAC
路竹科學園區,LOC
南台灣,LOC
英國,NORP
兩年多,DATE
捷運黃線,ORG
高雄橋頭科學園區,LOC
第二,ORDINAL
台南,GPE
兩,CARDINAL
沙崙智慧綠能科學園區,FAC
中國,GPE
